Year, Month, Total Rainfall, Min Rainfall, Max Rainfall
2017, 10, 194.00, 0.00, 101.00
2017, 11, 118.00, 0.00, 29.00
2012, 01, 291.00, 0.00, 86.00
2017, 12, 40.00, 0.00, 14.00
2000, 12, 554.00, 0.00, 178.00
2000, 11, 0.00, 0.00, 0.00
2012, 04, 213.00, 0.00, 81.00
2012, 05, 210.00, 0.00, 109.00
2012, 02, 321.00, 0.00, 55.00
2012, 03, 1129.00, 0.00, 188.00
2012, 08, 20.00, 0.00, 7.00
2012, 09, 16.00, 0.00, 4.00
2012, 06, 47.00, 0.00, 30.00
2012, 07, 74.00, 0.00, 55.00
2017, 03, 224.00, 0.00, 47.00
2017, 04, 217.00, 0.00, 61.00
2017, 05, 67.00, 0.00, 16.00
2017, 06, 54.00, 0.00, 11.00
2017, 01, 384.00, 0.00, 43.00
2017, 02, 601.00, 0.00, 159.00
2006, 08, 29.00, 0.00, 10.00
2006, 07, 145.00, 0.00, 31.00
2006, 09, 131.00, 0.00, 54.00
2006, 04, 861.00, 0.00, 340.00
2006, 03, 708.00, 0.00, 165.00
2006, 06, 169.00, 0.00, 69.00
2006, 05, 93.00, 0.00, 36.00
2006, 02, 313.00, 0.00, 118.00
2006, 01, 504.00, 0.00, 109.00
2017, 07, 100.00, 0.00, 35.00
2017, 08, 7.00, 0.00, 2.00
2017, 09, 61.00, 0.00, 46.00
2018, 04, 64.00, 0.00, 33.00
2018, 05, 35.00, 0.00, 13.00
2018, 06, 58.00, 0.00, 14.00
2018, 07, 45.00, 0.00, 34.00
2018, 01, 701.00, 0.00, 140.00
2018, 02, 424.00, 0.00, 160.00
2018, 03, 1297.00, 0.00, 244.00
2001, 05, 7.00, 0.00, 4.00
2001, 04, 319.00, 0.00, 96.00
2001, 03, 250.00, 0.00, 56.00
2001, 02, 1106.00, 0.00, 188.00
2001, 09, 56.00, 0.00, 21.00
2001, 08, 21.00, 0.00, 8.00
2001, 07, 4.00, 0.00, 3.00
2001, 06, 180.00, 0.00, 23.00
2006, 11, 38.00, 0.00, 14.00
2001, 01, 329.00, 0.00, 118.00
2006, 10, 145.00, 0.00, 41.00
2006, 12, 129.00, 0.00, 25.00
2018, 08, 5.00, 0.00, 2.00
2018, 09, 8.00, 0.00, 2.00
2012, 11, 36.00, 0.00, 12.00
2012, 12, 35.00, 0.00, 20.00
2012, 10, 64.00, 0.00, 25.00
2001, 12, 61.00, 0.00, 39.00
2001, 11, 136.00, 0.00, 70.00
2001, 10, 28.00, 0.00, 13.00
2016, 01, 73.00, 0.00, 19.00
2016, 05, 224.00, 0.00, 117.00
2016, 04, 151.00, 0.00, 22.00
2016, 03, 212.00, 0.00, 63.00
2016, 02, 136.00, 0.00, 35.00
2004, 12, 188.00, 0.00, 76.00
2004, 10, 36.00, 0.00, 16.00
2004, 11, 84.00, 0.00, 40.00
2016, 09, 75.00, 0.00, 21.00
2016, 08, 43.00, 0.00, 9.00
2016, 07, 145.00, 0.00, 54.00
2016, 06, 102.00, 0.00, 31.00
2010, 10, 245.00, 0.00, 41.00
2010, 12, 428.00, 0.00, 86.00
2010, 11, 208.00, 0.00, 40.00
2011, 11, 129.00, 0.00, 41.00
2011, 10, 401.00, 0.00, 195.00
2005, 07, 175.00, 0.00, 38.00
2005, 06, 77.00, 0.00, 18.00
2005, 09, 11.00, 0.00, 7.00
2005, 08, 149.00, 0.00, 23.00
2005, 03, 516.00, 0.00, 324.00
2005, 02, 248.60, 0.00, 127.00
2005, 05, 38.00, 0.00, 12.00
2005, 04, 311.00, 0.00, 51.00
2005, 01, 517.00, 0.00, 125.00
2011, 12, 222.00, 0.00, 61.00
2016, 12, 158.00, 0.00, 71.00
2016, 11, 23.00, 0.00, 9.00
2016, 10, 27.00, 0.00, 11.00
2011, 09, 31.00, 0.00, 18.00
2005, 10, 15.00, 0.00, 6.00
2005, 12, 48.00, 0.00, 27.00
2005, 11, 39.00, 0.00, 12.00
2011, 02, 867.00, 0.00, 193.00
2011, 01, 504.00, 0.00, 116.00
2011, 04, 104.00, 0.00, 22.00
2011, 03, 564.00, 0.00, 202.00
2011, 06, 95.00, 0.00, 58.00
2011, 05, 27.00, 0.00, 6.00
2011, 08, 28.00, 0.00, 7.00
2011, 07, 28.00, 0.00, 8.00
2003, 08, 35.00, 0.00, 13.00
2003, 09, 8.00, 0.00, 4.00
2003, 04, 261.00, 0.00, 109.00
2003, 05, 175.00, 0.00, 43.00
2003, 06, 89.00, 0.00, 29.00
2003, 07, 86.00, 0.00, 19.00
2003, 01, 392.00, 0.00, 192.00
2003, 02, 236.00, 0.00, 42.00
2003, 03, 217.00, 0.00, 81.00
2008, 12, 184.00, 0.00, 49.00
2008, 10, 77.00, 0.00, 28.00
2008, 11, 121.00, 0.00, 63.00
2014, 10, 12.00, 0.00, 4.00
2020, 12, 206.00, 0.00, 52.00
2020, 11, 103.00, 0.00, 23.00
2014, 12, 65.00, 0.00, 44.00
2020, 10, 19.00, 0.00, 6.00
2014, 11, 20.00, 0.00, 9.00
2003, 11, 45.00, 0.00, 16.00
2003, 12, 284.00, 0.00, 53.00
2003, 10, 7.00, 0.00, 4.00
2015, 11, 92.00, 0.00, 17.00
2015, 10, 87.00, 0.00, 17.00
2015, 12, 358.00, 0.00, 88.00
2010, 09, 123.00, 0.00, 41.00
2009, 09, 11.00, 0.00, 6.00
2010, 08, 105.00, 0.00, 39.00
2009, 08, 9.00, 0.00, 2.00
2009, 07, 13.00, 0.00, 5.00
2009, 06, 18.00, 0.00, 9.00
2009, 05, 133.00, 0.00, 28.00
2009, 04, 196.00, 0.00, 57.00
2009, 03, 155.00, 0.00, 70.00
2009, 02, 527.00, 0.00, 82.00
2021, 10, 25.00, 0.00, 13.00
2010, 01, 684.00, 0.00, 119.00
2009, 01, 810.00, 0.00, 164.00
2010, 03, 424.00, 0.00, 123.00
2010, 02, 280.00, 0.00, 56.00
2010, 05, 51.00, 0.00, 16.00
2010, 04, 78.00, 0.00, 29.00
2010, 07, 90.00, 0.00, 24.00
2010, 06, 27.00, 0.00, 11.00
2021, 07, 114.00, 0.00, 67.00
2021, 06, 79.00, 0.00, 38.00
2021, 05, 88.00, 0.00, 17.00
2021, 04, 758.00, 0.00, 173.00
2021, 03, 180.00, 0.00, 77.00
2015, 04, 83.00, 0.00, 33.00
2021, 02, 270.00, 0.00, 52.00
2015, 03, 312.00, 0.00, 118.00
2021, 01, 677.00, 0.00, 210.00
2015, 02, 739.00, 0.00, 297.00
2015, 01, 267.00, 0.00, 51.00
2004, 09, 33.00, 0.00, 16.00
2004, 05, 70.00, 0.00, 25.00
2004, 06, 86.00, 0.00, 26.00
2021, 09, 205.00, 0.00, 181.00
2004, 07, 100.00, 0.00, 38.00
2021, 08, 49.00, 0.00, 8.00
2004, 08, 4.00, 0.00, 1.00
2004, 01, 332.00, 0.00, 128.00
2004, 02, 767.00, 0.00, 142.00
2004, 03, 1249.00, 0.00, 256.00
2004, 04, 451.00, 0.00, 106.00
2015, 08, 24.00, 0.00, 13.00
2009, 12, 97.00, 0.00, 26.00
2015, 07, 38.00, 0.00, 6.00
2009, 11, 249.00, 0.00, 94.00
2015, 06, 222.00, 0.00, 44.00
2009, 10, 35.00, 0.00, 21.00
2015, 05, 47.00, 0.00, 12.00
2015, 09, 30.00, 0.00, 19.00
2013, 12, 90.00, 0.00, 18.00
2013, 10, 31.00, 0.00, 17.00
2013, 11, 185.00, 0.00, 36.00
2007, 08, 40.00, 0.00, 8.00
2007, 09, 7.00, 0.00, 3.00
2007, 06, 103.00, 0.00, 30.00
2007, 07, 45.00, 0.00, 17.00
2007, 04, 121.00, 0.00, 25.00
2007, 05, 149.00, 0.00, 28.00
2007, 02, 804.00, 0.00, 124.00
2007, 03, 348.00, 0.00, 117.00
2007, 01, 282.00, 0.00, 73.00
2018, 11, 29.00, 0.00, 11.00
2013, 01, 561.00, 0.00, 248.00
2018, 12, 1240.00, 0.00, 250.00
2013, 02, 158.00, 0.00, 35.00
2002, 07, 0.00, 0.00, 0.00
2002, 08, 0.00, 0.00, 0.00
2002, 09, 11.00, 0.00, 11.00
2018, 10, 23.00, 0.00, 7.00
2002, 03, 63.00, 0.00, 10.00
2002, 04, 210.00, 0.00, 41.00
2002, 05, 125.00, 0.00, 24.00
2002, 06, 1.00, 0.00, 1.00
2002, 01, 184.00, 0.00, 40.00
2002, 02, 31.00, 0.00, 20.00
2007, 11, 100.00, 0.00, 19.00
2007, 12, 218.00, 0.00, 80.00
2013, 05, 215.00, 0.00, 54.00
2013, 06, 35.00, 0.00, 7.00
2007, 10, 89.00, 0.00, 48.00
2013, 03, 350.00, 0.00, 66.00
2013, 04, 128.00, 0.00, 40.00
2013, 09, 66.00, 0.00, 17.00
2013, 07, 91.00, 0.00, 17.00
2013, 08, 14.00, 0.00, 5.00
2020, 06, 90.00, 0.00, 23.00
2020, 05, 204.00, 0.00, 79.00
2020, 04, 108.00, 0.00, 41.00
2020, 03, 225.00, 0.00, 49.00
2020, 02, 342.00, 0.00, 81.00
2014, 03, 372.00, 0.00, 125.00
2020, 01, 505.00, 0.00, 159.00
2019, 12, 93.00, 0.00, 21.00
2014, 02, 496.00, 0.00, 63.00
2014, 01, 404.00, 0.00, 131.00
2019, 11, 6.00, 0.00, 3.00
2019, 10, 92.00, 0.00, 39.00
2020, 09, 106.00, 0.00, 28.00
2020, 08, 24.00, 0.00, 8.00
2020, 07, 72.00, 0.00, 40.00
2002, 10, 0.00, 0.00, 0.00
2002, 11, 25.00, 0.00, 8.00
2002, 12, 197.00, 0.00, 123.00
2014, 07, 63.00, 0.00, 14.00
2014, 06, 124.00, 0.00, 35.00
2014, 05, 167.00, 0.00, 48.00
2014, 04, 517.00, 0.00, 235.00
2014, 09, 6.00, 0.00, 2.00
2014, 08, 59.00, 0.00, 17.00
2019, 06, 6.00, 0.00, 6.00
2019, 05, 127.00, 0.00, 24.00
2019, 08, 38.00, 0.00, 13.00
2019, 07, 5.00, 0.00, 2.00
2019, 02, 432.00, 0.00, 103.00
2019, 01, 891.00, 0.00, 219.00
2019, 04, 323.00, 0.00, 122.00
2019, 03, 488.00, 0.00, 97.00
2008, 09, 51.00, 0.00, 16.00
2008, 07, 93.00, 0.00, 31.00
2008, 08, 6.00, 0.00, 2.00
2008, 05, 85.00, 0.00, 33.00
2008, 06, 35.00, 0.00, 14.00
2008, 03, 1023.00, 0.00, 335.00
2008, 04, 38.00, 0.00, 14.00
2008, 01, 581.00, 0.00, 231.00
2008, 02, 557.00, 0.00, 91.00
2019, 09, 5.00, 0.00, 3.00
